regime,signal,selected_features,risk_multiplier,confidence,reason,source,guardrails_applied,time,idx,close
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-21 00:00:00+00:00,74,115282.27
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-22 00:00:00+00:00,75,112736.59
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-23 00:00:00+00:00,76,112017.21
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-24 00:00:00+00:00,77,113348.17
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-25 00:00:00+00:00,78,109035.72
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-26 00:00:00+00:00,79,109697.29
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['trade_cooldown_2_of_3'],2025-09-27 00:00:00+00:00,80,109681.16
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-28 00:00:00+00:00,81,112197.67
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-29 00:00:00+00:00,82,114365.07
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-09-30 00:00:00+00:00,83,114067.71
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-01 00:00:00+00:00,84,118659.97
swing_trading,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.8,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-02 00:00:00+00:00,85,120621.32
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['trade_cooldown_1_of_3'],2025-10-03 00:00:00+00:00,86,122318.4
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-04 00:00:00+00:00,87,122458.56
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-05 00:00:00+00:00,88,123520.79
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.4,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-06 00:00:00+00:00,89,124720.09
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.3,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['trade_cooldown_1_of_3'],2025-10-07 00:00:00+00:00,90,121393.95
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.3,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-08 00:00:00+00:00,91,123343.25
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.3,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-09 00:00:00+00:00,92,121714.51
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.3,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-10 00:00:00+00:00,93,112980.28
swing_trading,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.3,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-11 00:00:00+00:00,94,110768.89
hold,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-12 00:00:00+00:00,95,115067.98
hold,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-13 00:00:00+00:00,96,115274.03
hold,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.44999999999999996,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-10-14 00:00:00+00:00,97,113068.0
hold,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.33749999999999997,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-10-15 00:00:00+00:00,98,110804.12
hold,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.253125,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-10-16 00:00:00+00:00,99,108198.0
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.30000000000000004,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-10-17 00:00:00+00:00,100,106463.3
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.11250000000000002,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,"['medium_atr_volatility_75pct_risk', 'trade_cooldown_1_of_3']",2025-10-18 00:00:00+00:00,101,107208.91
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.084375,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-10-19 00:00:00+00:00,102,108676.78
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.07500000000000001,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-10-20 00:00:00+00:00,103,110568.06
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.07500000000000001,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-10-21 00:00:00+00:00,104,108362.27
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.30000000000000004,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-10-22 00:00:00+00:00,105,107585.98
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.22500000000000003,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-10-23 00:00:00+00:00,106,110116.03
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.22500000000000003,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-24 00:00:00+00:00,107,111042.13
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.22500000000000003,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-25 00:00:00+00:00,108,111666.21
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.22500000000000003,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-26 00:00:00+00:00,109,114548.09
hold,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-27 00:00:00+00:00,110,114087.06
hold,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-28 00:00:00+00:00,111,112906.75
hold,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-29 00:00:00+00:00,112,110032.13
hold,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-30 00:00:00+00:00,113,108308.18
hold,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-10-31 00:00:00+00:00,114,109555.27
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-11-01 00:00:00+00:00,115,110052.25
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-11-02 00:00:00+00:00,116,110536.01
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-11-03 00:00:00+00:00,117,106557.98
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-11-04 00:00:00+00:00,118,101468.15
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.6,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-11-05 00:00:00+00:00,119,103869.0
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.3,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['trade_cooldown_2_of_3'],2025-11-06 00:00:00+00:00,120,101290.5
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.3,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-11-07 00:00:00+00:00,121,103284.27
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.22499999999999998,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-08 00:00:00+00:00,122,102285.57
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.22499999999999998,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-11-09 00:00:00+00:00,123,104694.95
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.22499999999999998,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,[],2025-11-10 00:00:00+00:00,124,105979.38
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.30000000000000004,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-11 00:00:00+00:00,125,103009.35
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.22500000000000003,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-12 00:00:00+00:00,126,101639.01
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.084375,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,"['medium_atr_volatility_75pct_risk', 'trade_cooldown_1_of_3']",2025-11-13 00:00:00+00:00,127,99614.54
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.07500000000000001,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-14 00:00:00+00:00,128,94503.96
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.07500000000000001,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-15 00:00:00+00:00,129,95544.94
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.15000000000000002,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,"['medium_atr_volatility_75pct_risk', 'trade_cooldown_2_of_3']",2025-11-16 00:00:00+00:00,130,94183.97
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.11250000000000002,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-17 00:00:00+00:00,131,92100.6
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.084375,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-18 00:00:00+00:00,132,92914.46
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.07500000000000001,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-19 00:00:00+00:00,133,91461.6
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.07500000000000001,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-20 00:00:00+00:00,134,86536.88
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.15000000000000002,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,"['medium_atr_volatility_75pct_risk', 'trade_cooldown_1_of_3']",2025-11-21 00:00:00+00:00,135,85068.88
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.11250000000000002,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-22 00:00:00+00:00,136,84684.0
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.084375,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-23 00:00:00+00:00,137,86808.28
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.07500000000000001,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-24 00:00:00+00:00,138,88266.2
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.07500000000000001,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-25 00:00:00+00:00,139,87325.01
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.30000000000000004,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-26 00:00:00+00:00,140,90468.84
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.22500000000000003,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-27 00:00:00+00:00,141,91316.7
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.16875,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-28 00:00:00+00:00,142,90902.7
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.12656250000000002,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-29 00:00:00+00:00,143,90828.06
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.09492187500000002,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-11-30 00:00:00+00:00,144,90369.51
value_investing,buy,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.30000000000000004,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-12-01 00:00:00+00:00,145,86282.36
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.11250000000000002,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,"['medium_atr_volatility_75pct_risk', 'trade_cooldown_1_of_3']",2025-12-02 00:00:00+00:00,146,91308.05
value_investing,hold,"['rsi_14', 'macd_hist', 'ema_20', 'ema_50', 'ema_100', 'atr_pct', 'drawdown_from_peak']",0.084375,0.55,"Deterministic fallback based on RSI, MACD, EMA trend, drawdown, and ATR%. ",heuristic_fallback,['medium_atr_volatility_75pct_risk'],2025-12-03 00:00:00+00:00,147,93453.84
